,"County, State",GEO ID,FSRR2010,State,County,Name,Broadband (%)
40,"Santa Clara County, California",0500000US06085,74,06,085,"Santa Clara County, California",0.72320747
41,"Santa Cruz County, California",0500000US06087,67.8,06,087,"Santa Cruz County, California",0.82664067
42,"Solano County, California",0500000US06095,67.9,06,095,"Solano County, California",0.76031411
43,"Sonoma County, California",0500000US06097,68.6,06,097,"Sonoma County, California",0.83561498
44,"Stanislaus County, California",0500000US06099,66.7,06,099,"Stanislaus County, California",0.8165164
45,"Tulare County, California",0500000US06107,65,06,107,"Tulare County, California",0.56626606
46,"Ventura County, California",0500000US06111,72.5,06,111,"Ventura County, California",0.86782217
47,"Yolo County, California",0500000US06113,71.5,06,113,"Yolo County, California",0.59081781
48,"Arapahoe County, Colorado",0500000US08005,71.2,08,005,"Arapahoe County, Colorado",0.6666949999999999
49,"Boulder County, Colorado",0500000US08013,73.4,08,013,"Boulder County, Colorado",0.81448162
50,"Denver County, Colorado",0500000US08031,69,08,031,"Denver County, Colorado",0.73024648
51,"Douglas County, Colorado",0500000US08035,77.3,08,035,"Douglas County, Colorado",0.89227235
52,"El Paso County, Colorado",0500000US08041,69,08,041,"El Paso County, Colorado",0.71392828
53,"Jefferson County, Colorado",0500000US08059,77,08,059,"Jefferson County, Colorado",0.83259267
54,"Larimer County, Colorado",0500000US08069,70.7,08,069,"Larimer County, Colorado",0.80762696
55,"Pueblo County, Colorado",0500000US08101,65.8,08,101,"Pueblo County, Colorado",0.67299044
56,"Weld County, Colorado",0500000US08123,65.5,08,123,"Weld County, Colorado",0.75806105
57,"Kent County, Delaware",0500000US10001,68.6,10,001,"Kent County, Delaware",0.75445378
58,"New Castle County, Delaware",0500000US10003,70.7,10,003,"New Castle County, Delaware",0.7580229
59,"Sussex County, Delaware",0500000US10005,49.6,10,005,"Sussex County, Delaware",0.62565607
60,"District of Columbia, District of Columbia",0500000US11001,66,11,001,"District of Columbia, District of Columbia",0.74453211
61,"Alachua County, Florida",0500000US12001,62.2,12,001,"Alachua County, Florida",0.77189571
62,"Bay County, Florida",0500000US12005,62.8,12,005,"Bay County, Florida",0.80406189
63,"Brevard County, Florida",0500000US12009,67.7,12,009,"Brevard County, Florida",0.79977483
64,"Broward County, Florida",0500000US12011,63.7,12,011,"Broward County, Florida",0.75075644
65,"Charlotte County, Florida",0500000US12015,60.3,12,015,"Charlotte County, Florida",0.60649759
66,"Clay County, Florida",0500000US12019,69.9,12,019,"Clay County, Florida",0.83284742
67,"Collier County, Florida",0500000US12021,54.1,12,021,"Collier County, Florida",0.83710587
68,"Escambia County, Florida",0500000US12033,64.9,12,033,"Escambia County, Florida",0.75052786
69,"Hernando County, Florida",0500000US12053,69.9,12,053,"Hernando County, Florida",0.69355071
70,"Hillsborough County, Florida",0500000US12057,65.3,12,057,"Hillsborough County, Florida",0.72448188
71,"Indian River County, Florida",0500000US12061,63.9,12,061,"Indian River County, Florida",0.67635512
72,"Lake County, Florida",0500000US12069,65.2,12,069,"Lake County, Florida",0.53227216
73,"Lee County, Florida",0500000US12071,55.3,12,071,"Lee County, Florida",0.66376036
74,"Manatee County, Florida",0500000US12081,62.8,12,081,"Manatee County, Florida",0.59930801
75,"Marion County, Florida",0500000US12083,63.8,12,083,"Marion County, Florida",0.63929152
76,"Miami-Dade County, Florida",0500000US12086,65.5,12,086,"Dade County, Florida",0.72215611
77,"Okaloosa County, Florida",0500000US12091,65.3,12,091,"Okaloosa County, Florida",0.7141906
78,"Orange County, Florida",0500000US12095,62,12,095,"Orange County, Florida",0.77480674
79,"Osceola County, Florida",0500000US12097,52.7,12,097,"Osceola County, Florida",0.69680244
80,"Palm Beach County, Florida",0500000US12099,63,12,099,"Palm Beach County, Florida",0.71832353
81,"Pasco County, Florida",0500000US12101,65.5,12,101,"Pasco County, Florida",0.85841823
82,"Pinellas County, Florida",0500000US12103,64.8,12,103,"Pinellas County, Florida",0.74411494
83,"Polk County, Florida",0500000US12105,60.3,12,105,"Polk County, Florida",0.71385628
84,"St. Johns County, Florida",0500000US12109,66.8,12,109,"St. Johns County, Florida",0.78476661
85,"Santa Rosa County, Florida",0500000US12113,69.8,12,113,"Santa Rosa County, Florida",0.66686356
86,"Sarasota County, Florida",0500000US12115,62.3,12,115,"Sarasota County, Florida",0.66090727
87,"Seminole County, Florida",0500000US12117,69,12,117,"Seminole County, Florida",0.82698959
88,"Volusia County, Florida",0500000US12127,62.8,12,127,"Volusia County, Florida",0.69555372
89,"Cherokee County, Georgia",0500000US13057,70.6,13,057,"Cherokee County, Georgia",0.8652277
90,"Clayton County, Georgia",0500000US13063,56.9,13,063,"Clayton County, Georgia",0.59334671
91,"Cobb County, Georgia",0500000US13067,66.7,13,067,"Cobb County, Georgia",0.66019523
92,"DeKalb County, Georgia",0500000US13089,63.6,13,089,"De Kalb County, Georgia",0.64018047
93,"Fulton County, Georgia",0500000US13121,60.5,13,121,"Fulton County, Georgia",0.66264027
94,"Gwinnett County, Georgia",0500000US13135,66.3,13,135,"Gwinnett County, Georgia",0.80260503
