,"County, State",GEO ID,FSRR2010,State,County,Name,Broadband (%)
290,"Johnson County, Texas",0500000US48251,66.6,48,251,"Johnson County, Texas",0.69879311
291,"Lubbock County, Texas",0500000US48303,67.5,48,303,"Lubbock County, Texas",0.70335221
292,"McLennan County, Texas",0500000US48309,65.5,48,309,"McLennan County, Texas",0.74788427
293,"Midland County, Texas",0500000US48329,67.9,48,329,"Midland County, Texas",0.69718796
294,"Potter County, Texas",0500000US48375,64.1,48,375,"Potter County, Texas",0.67876101
295,"Randall County, Texas",0500000US48381,72.1,48,381,"Randall County, Texas",0.83140349
296,"Tarrant County, Texas",0500000US48439,66.8,48,439,"Tarrant County, Texas",0.77528661
297,"Webb County, Texas",0500000US48479,62.2,48,479,"Webb County, Texas",0.67464751
298,"Utah County, Utah",0500000US49049,73.4,49,049,"Utah County, Utah",0.8820231
299,"Arlington County, Virginia",0500000US51013,73.3,51,013,"Arlington County, Virginia",0.8507129000000001
300,"Chesterfield County, Virginia",0500000US51041,75.9,51,041,"Chesterfield County, Virginia",0.80588919
301,"Fairfax County, Virginia",0500000US51059,75.3,51,059,"Fairfax County, Virginia",0.90362787
302,"Henrico County, Virginia",0500000US51087,74,51,087,"Henrico County, Virginia",0.78409839
303,"Loudoun County, Virginia",0500000US51107,75,51,107,"Loudoun County, Virginia",0.90557969
304,"Prince William County, Virginia",0500000US51153,72.1,51,153,"Prince William County, Virginia",0.83186585
305,"Alexandria city, Virginia",0500000US51510,71.7,51,510,"Alexandria city, Virginia",0.85453886
306,"Chesapeake city, Virginia",0500000US51550,76.3,51,550,"Chesapeake city, Virginia",0.74461842
307,"Hampton city, Virginia",0500000US51650,69.4,51,650,"Hampton city, Virginia",0.74574798
308,"Newport News city, Virginia",0500000US51700,68.2,51,700,"Newport News city, Virginia",0.56144828
309,"Norfolk city, Virginia",0500000US51710,65.6,51,710,"Norfolk city, Virginia",0.73388618
310,"Portsmouth city, Virginia",0500000US51740,69.6,51,740,"Portsmouth city, Virginia",0.76511031
311,"Richmond city, Virginia",0500000US51760,64.5,51,760,"Richmond city, Virginia",0.56849146
312,"Virginia Beach city, Virginia",0500000US51810,71.7,51,810,"Virginia Beach city, Virginia",0.84022909
313,"Clark County, Washington",0500000US53011,69.5,53,011,"Clark County, Washington",0.6835348000000001
314,"King County, Washington",0500000US53033,70.3,53,033,"King County, Washington",0.83500862
315,"Kitsap County, Washington",0500000US53035,66.3,53,035,"Kitsap County, Washington",0.84663743
316,"Pierce County, Washington",0500000US53053,66.7,53,053,"Pierce County, Washington",0.66483986
317,"Spokane County, Washington",0500000US53063,70.4,53,063,"Spokane County, Washington",0.78554469
318,"Thurston County, Washington",0500000US53067,68.1,53,067,"Thurston County, Washington",0.89003181
319,"Whatcom County, Washington",0500000US53073,67.6,53,073,"Whatcom County, Washington",0.87440503
320,"Yakima County, Washington",0500000US53077,68.1,53,077,"Yakima County, Washington",0.52547216
321,"Brown County, Wisconsin",0500000US55009,80.2,55,009,"Brown County, Wisconsin",0.65439403
322,"Dane County, Wisconsin",0500000US55025,77.9,55,025,"Dane County, Wisconsin",0.69106591
323,"La Crosse County, Wisconsin",0500000US55063,79.5,55,063,"La Crosse County, Wisconsin",0.80282146
324,"Marathon County, Wisconsin",0500000US55073,78.5,55,073,"Marathon County, Wisconsin",0.74494654
325,"Racine County, Wisconsin",0500000US55101,73.9,55,101,"Racine County, Wisconsin",0.78525907
326,"Rock County, Wisconsin",0500000US55105,74.2,55,105,"Rock County, Wisconsin",0.6626575
327,"Winnebago County, Wisconsin",0500000US55139,78.1,55,139,"Winnebago County, Wisconsin",0.78920209
