,Name,Population,White,Black or African American,American Indian and Alaskan Native,Asian,Native Hawaiian and Other Pacific Islander,Other,Broadband (%),GEO ID
152,"Cleburne County, Arkansas",25361.0,24774.0,158.0,335.0,205.0,0.0,57.0,0.52032518,0500000US05023
153,"Cleveland County, Arkansas",8332.0,7372.0,1008.0,58.0,62.0,11.0,6.0,0.62068963,0500000US05025
154,"Jackson County, Arkansas",17429.0,14259.0,3269.0,289.0,8.0,0.0,94.0,0.48739493,0500000US05067
155,"Hempstead County, Arkansas",22154.0,13693.0,6824.0,298.0,93.0,139.0,1687.0,0.49305558,0500000US05057
156,"Sharp County, Arkansas",17041.0,16672.0,233.0,387.0,139.0,6.0,142.0,0.44696969,0500000US05135
157,"Stone County, Arkansas",12443.0,12312.0,132.0,263.0,11.0,0.0,31.0,0.43518519,0500000US05137
158,"Washington County, Arkansas",223683.0,180505.0,9344.0,5762.0,6951.0,5334.0,23556.0,0.78290671,0500000US05143
159,"Greene County, Arkansas",44197.0,43040.0,781.0,466.0,200.0,53.0,437.0,0.48251748,0500000US05055
160,"Baxter County, Arkansas",41093.0,40203.0,111.0,698.0,204.0,46.0,441.0,0.5888325,0500000US05005
161,"Ashley County, Arkansas",20771.0,15122.0,5369.0,162.0,1.0,0.0,301.0,0.56441718,0500000US05003
162,"Craighead County, Arkansas",104246.0,86043.0,16093.0,1457.0,1466.0,216.0,2157.0,0.83112466,0500000US05031
163,"Lafayette County, Arkansas",7051.0,4290.0,2690.0,66.0,27.0,0.0,38.0,0.55000001,0500000US05073
164,"Perry County, Arkansas",10320.0,9872.0,306.0,189.0,24.0,0.0,165.0,0.40909091,0500000US05105
165,"Yell County, Arkansas",21601.0,17591.0,537.0,258.0,333.0,0.0,3028.0,0.41249999,0500000US05149
166,"Phillips County, Arkansas",19518.0,7182.0,12413.0,36.0,44.0,0.0,53.0,0.36781609,0500000US05107
167,"Poinsett County, Arkansas",24098.0,22438.0,1585.0,965.0,14.0,0.0,215.0,0.5,0500000US05111
168,"Sevier County, Arkansas",17206.0,11423.0,857.0,588.0,141.0,54.0,4540.0,0.47,0500000US05133
