"County, State",GEO ID,FSRR2010,State,County
"Broomfield County, Colorado",0500000US08014,73.2,08,014
"Chaffee County, Colorado",0500000US08015,61,08,015
"Cheyenne County, Colorado",0500000US08017,54.9,08,017
"Clear Creek County, Colorado",0500000US08019,54.4,08,019
"Conejos County, Colorado",0500000US08021,49,08,021
"Costilla County, Colorado",0500000US08023,36.6,08,023
"Crowley County, Colorado",0500000US08025,56.9,08,025
"Custer County, Colorado",0500000US08027,36.8,08,027
"Delta County, Colorado",0500000US08029,64.5,08,029
"Denver County, Colorado",0500000US08031,69,08,031
"Dolores County, Colorado",0500000US08033,38.9,08,033
"Douglas County, Colorado",0500000US08035,77.3,08,035
"Eagle County, Colorado",0500000US08037,40.9,08,037
"Elbert County, Colorado",0500000US08039,75.2,08,039
"El Paso County, Colorado",0500000US08041,69,08,041
"Fremont County, Colorado",0500000US08043,63.2,08,043
"Garfield County, Colorado",0500000US08045,60.1,08,045
"Gilpin County, Colorado",0500000US08047,48.7,08,047
"Grand County, Colorado",0500000US08049,31,08,049
"Gunnison County, Colorado",0500000US08051,40.2,08,051
"Hinsdale County, Colorado",0500000US08053,19.9,08,053
"Huerfano County, Colorado",0500000US08055,41.6,08,055
"Jackson County, Colorado",0500000US08057,38.6,08,057
"Jefferson County, Colorado",0500000US08059,77,08,059
"Kiowa County, Colorado",0500000US08061,53.8,08,061
"Kit Carson County, Colorado",0500000US08063,63.1,08,063
"Lake County, Colorado",0500000US08065,45.7,08,065
"La Plata County, Colorado",0500000US08067,58.2,08,067
"Larimer County, Colorado",0500000US08069,70.7,08,069
"Las Animas County, Colorado",0500000US08071,50,08,071
"Lincoln County, Colorado",0500000US08073,59,08,073
"Logan County, Colorado",0500000US08075,66.1,08,075
"Mesa County, Colorado",0500000US08077,70.3,08,077
"Mineral County, Colorado",0500000US08079,21.1,08,079
"Moffat County, Colorado",0500000US08081,63.3,08,081
"Montezuma County, Colorado",0500000US08083,62.5,08,083
"Montrose County, Colorado",0500000US08085,65.9,08,085
"Morgan County, Colorado",0500000US08087,66.4,08,087
"Otero County, Colorado",0500000US08089,58.4,08,089
"Ouray County, Colorado",0500000US08091,46.7,08,091
"Park County, Colorado",0500000US08093,39.9,08,093
"Phillips County, Colorado",0500000US08095,70.4,08,095
"Pitkin County, Colorado",0500000US08097,39.8,08,097
"Prowers County, Colorado",0500000US08099,57.8,08,099
"Pueblo County, Colorado",0500000US08101,65.8,08,101
"Rio Blanco County, Colorado",0500000US08103,55.6,08,103
"Rio Grande County, Colorado",0500000US08105,50,08,105
"Routt County, Colorado",0500000US08107,43,08,107
"Saguache County, Colorado",0500000US08109,40.3,08,109
"San Juan County, Colorado",0500000US08111,31.5,08,111
"San Miguel County, Colorado",0500000US08113,31.2,08,113
"Sedgwick County, Colorado",0500000US08115,61.4,08,115
"Summit County, Colorado",0500000US08117,27.8,08,117
"Teller County, Colorado",0500000US08119,56.8,08,119
"Washington County, Colorado",0500000US08121,60.3,08,121
"Weld County, Colorado",0500000US08123,65.5,08,123
"Yuma County, Colorado",0500000US08125,66.4,08,125
"Fairfield County, Connecticut",0500000US09001,69.5,09,001
"Hartford County, Connecticut",0500000US09003,71.4,09,003
"Litchfield County, Connecticut",0500000US09005,67.8,09,005
"Middlesex County, Connecticut",0500000US09007,70.5,09,007
"New Haven County, Connecticut",0500000US09009,69,09,009
"New London County, Connecticut",0500000US09011,66.4,09,011
"Tolland County, Connecticut",0500000US09013,73.3,09,013
"Windham County, Connecticut",0500000US09015,62.6,09,015
"Kent County, Delaware",0500000US10001,68.6,10,001
"New Castle County, Delaware",0500000US10003,70.7,10,003
"Sussex County, Delaware",0500000US10005,49.6,10,005
"District of Columbia, District of Columbia",0500000US11001,66,11,001
"Alachua County, Florida",0500000US12001,62.2,12,001
"Baker County, Florida",0500000US12003,58.6,12,003
"Bay County, Florida",0500000US12005,62.8,12,005
"Bradford County, Florida",0500000US12007,57.5,12,007
"Brevard County, Florida",0500000US12009,67.7,12,009
"Broward County, Florida",0500000US12011,63.7,12,011
"Calhoun County, Florida",0500000US12013,53.7,12,013
"Charlotte County, Florida",0500000US12015,60.3,12,015
"Citrus County, Florida",0500000US12017,65.6,12,017
"Clay County, Florida",0500000US12019,69.9,12,019
"Collier County, Florida",0500000US12021,54.1,12,021
"Columbia County, Florida",0500000US12023,57.2,12,023
"DeSoto County, Florida",0500000US12027,53.3,12,027
"Dixie County, Florida",0500000US12029,42.7,12,029
"Duval County, Florida",0500000US12031,63.4,12,031
"Escambia County, Florida",0500000US12033,64.9,12,033
"Flagler County, Florida",0500000US12035,64.3,12,035
"Franklin County, Florida",0500000US12037,32.5,12,037
"Gadsden County, Florida",0500000US12039,56.6,12,039
"Gilchrist County, Florida",0500000US12041,56.4,12,041
"Glades County, Florida",0500000US12043,41.4,12,043
"Gulf County, Florida",0500000US12045,45,12,045
"Hamilton County, Florida",0500000US12047,45,12,047
"Hardee County, Florida",0500000US12049,50.9,12,049
"Hendry County, Florida",0500000US12051,46.5,12,051
"Hernando County, Florida",0500000US12053,69.9,12,053
"Highlands County, Florida",0500000US12055,59.2,12,055
"Hillsborough County, Florida",0500000US12057,65.3,12,057
"Holmes County, Florida",0500000US12059,57.4,12,059
"Indian River County, Florida",0500000US12061,63.9,12,061
"Jackson County, Florida",0500000US12063,55.5,12,063
"Jefferson County, Florida",0500000US12065,54.5,12,065
"Lafayette County, Florida",0500000US12067,46.2,12,067
"Lake County, Florida",0500000US12069,65.2,12,069
"Lee County, Florida",0500000US12071,55.3,12,071
"Leon County, Florida",0500000US12073,64.7,12,073
"Levy County, Florida",0500000US12075,55.8,12,075
"Liberty County, Florida",0500000US12077,45.5,12,077
